Order ID,Order Date,Customer Name,City,Product Name,Unit Price,Quantity,Discount (%),Subtotal,Discount Amount,Total Sales,Shipping Fee,Grand Total,Payment Method,Order Status,Platform,Customer Rating,Size,Material,Gender
ORD00001,2025-12-13 16:02:00,Clara Ananda,Pontianak,Rok Midi,185000,3,0,555000,0,555000,17000,883000,Transfer Bank,Completed,Toko Fashion App,3,XL,Polyester,Wanita
ORD00001,2025-12-13 16:02:00,Clara Ananda,Pontianak,Kemeja Formal,311000,1,0,311000,0,311000,17000,883000,Transfer Bank,Completed,Toko Fashion App,3,XXL,Katun Oxford,Pria
ORD00002,2025-10-28 13:57:00,Qori Syahputra,Manokwari,Jaket Denim,490000,1,0,490000,0,490000,24000,2228000,e-Wallet,Completed,StyleMart,2,L,Chambray,Pria
ORD00002,2025-10-28 13:57:00,Qori Syahputra,Manokwari,Celana Pendek,153000,2,0,306000,0,306000,24000,2228000,e-Wallet,Completed,StyleMart,2,XXL,Jersey,Pria
ORD00002,2025-10-28 13:57:00,Qori Syahputra,Manokwari,Gamis,704000,2,0,1408000,0,1408000,24000,2228000,e-Wallet,Completed,StyleMart,2,M,Sutra,Wanita
ORD00003,2025-12-09 19:16:00,Lestari Setiawan,Banjarbaru,Gamis,670000,2,0,1340000,0,1340000,24000,2122000,e-Wallet,Returned,Toko Fashion App,5,M,Sutra,Wanita
ORD00003,2025-12-09 19:16:00,Lestari Setiawan,Banjarbaru,Jaket Denim,539000,1,0,539000,0,539000,24000,2122000,e-Wallet,Returned,Toko Fashion App,5,L,Cotton,Pria
ORD00003,2025-12-09 19:16:00,Lestari Setiawan,Banjarbaru,Sweater,219000,1,0,219000,0,219000,24000,2122000,e-Wallet,Returned,Toko Fashion App,5,S,Acrylic,Pria
ORD00004,2025-06-15 11:43:00,Eka Syahputra,Wamena,Kemeja Casual,206000,3,0,618000,0,618000,17000,992000,e-Wallet,Completed,FashionKita,1,XXL,Linen,Pria
ORD00004,2025-06-15 11:43:00,Eka Syahputra,Wamena,Jaket Bomber,357000,1,0,357000,0,357000,17000,992000,e-Wallet,Completed,FashionKita,1,XXL,Polyester,Pria
ORD00005,2025-02-06 19:08:00,Wahyu Santoso,Jakarta,Hoodie,322000,1,0,322000,0,322000,17000,935000,COD,Completed,OutfitNow,1,L,Cotton Combed,Pria
ORD00005,2025-02-06 19:08:00,Wahyu Santoso,Jakarta,Dress Casual,298000,2,0,596000,0,596000,17000,935000,COD,Completed,OutfitNow,1,XXL,Viscose,Wanita
ORD00006,2025-05-19 19:06:00,Ani Wijaya,Pontianak,Hoodie,334000,2,0,668000,0,668000,17000,855000,e-Wallet,Completed,StyleMart,1,XXL,Cotton Combed,Pria
ORD00006,2025-05-19 19:06:00,Ani Wijaya,Pontianak,Kaos Pendek,85000,2,0,170000,0,170000,17000,855000,e-Wallet,Completed,StyleMart,1,M,Cotton Combed,Pria
ORD00007,2025-08-08 18:15:00,Ani Halim,Wamena,Hijab,47000,4,10,188000,18800,169200,20000,834500,Transfer Bank,Returned,FashionHub,1,XXL,Voal,Wanita
ORD00007,2025-08-08 18:15:00,Ani Halim,Wamena,Kaos Polo,194000,2,10,388000,38800,349200,20000,834500,Transfer Bank,Returned,FashionHub,1,L,Katun Pique,Pria
ORD00007,2025-08-08 18:15:00,Ani Halim,Wamena,Kemeja Formal,329000,1,10,329000,32900,296100,20000,834500,Transfer Bank,Returned,FashionHub,1,XL,Twill,Pria
ORD00008,2025-03-02 16:10:00,Arif Fauziah,Padang,Kaos Pendek,72000,2,0,144000,0,144000,27000,2000000,Kartu Kredit,Completed,Toko Fashion App,1,L,Katun,Pria
ORD00008,2025-03-02 16:10:00,Arif Fauziah,Padang,Dress Casual,181000,1,0,181000,0,181000,27000,2000000,Kartu Kredit,Completed,Toko Fashion App,1,L,Katun,Wanita
ORD00008,2025-03-02 16:10:00,Arif Fauziah,Padang,Celana Jeans,430000,2,0,860000,0,860000,27000,2000000,Kartu Kredit,Completed,Toko Fashion App,1,S,Katun,Pria
