Order ID;Order Date;Customer Name;City;Product Name;Unit Price;Quantity;Discount (%);Subtotal;Discount Amount;Total Sales;Shipping Fee;Grand Total;Payment Method;Order Status;Platform;Customer Rating;Size;Material;Gender
ORD00001;13/12/2025 16:02;Clara Ananda;Pontianak;Rok Midi;185.000;3;0;555.000;0;555.000;17.000;883.000;Transfer Bank;Completed;Toko Fashion App;3;XL;Polyester;Wanita
ORD00001;13/12/2025 16:02;Clara Ananda;Pontianak;Kemeja Formal;311.000;1;0;311.000;0;311.000;17.000;883.000;Transfer Bank;Completed;Toko Fashion App;3;XXL;Katun Oxford;Pria
ORD00002;28/10/2025 13:57;Qori Syahputra;Manokwari;Jaket Denim;490.000;1;0;490.000;0;490.000;24.000;2.228.000;e-Wallet;Completed;StyleMart;2;L;Chambray;Pria
ORD00002;28/10/2025 13:57;Qori Syahputra;Manokwari;Celana Pendek;153.000;2;0;306.000;0;306.000;24.000;2.228.000;e-Wallet;Completed;StyleMart;2;XXL;Jersey;Pria
ORD00002;28/10/2025 13:57;Qori Syahputra;Manokwari;Gamis;704.000;2;0;1.408.000;0;1.408.000;24.000;2.228.000;e-Wallet;Completed;StyleMart;2;M;Sutra;Wanita
ORD00003;09/12/2025 19:16;Lestari Setiawan;Banjarbaru;Gamis;670.000;2;0;1.340.000;0;1.340.000;24.000;2.122.000;e-Wallet;Returned;Toko Fashion App;5;M;Sutra;Wanita
ORD00003;09/12/2025 19:16;Lestari Setiawan;Banjarbaru;Jaket Denim;539.000;1;0;539.000;0;539.000;24.000;2.122.000;e-Wallet;Returned;Toko Fashion App;5;L;Cotton;Pria
ORD00003;09/12/2025 19:16;Lestari Setiawan;Banjarbaru;Sweater;219.000;1;0;219.000;0;219.000;24.000;2.122.000;e-Wallet;Returned;Toko Fashion App;5;S;Acrylic;Pria
ORD00004;15/06/2025 11:43;Eka Syahputra;Wamena;Kemeja Casual;206.000;3;0;618.000;0;618.000;17.000;992.000;e-Wallet;Completed;FashionKita;1;XXL;Linen;Pria
ORD00004;15/06/2025 11:43;Eka Syahputra;Wamena;Jaket Bomber;357.000;1;0;357.000;0;357.000;17.000;992.000;e-Wallet;Completed;FashionKita;1;XXL;Polyester;Pria
ORD00005;06/02/2025 19:08;Wahyu Santoso;Jakarta;Hoodie;322.000;1;0;322.000;0;322.000;17.000;935.000;COD;Completed;OutfitNow;1;L;Cotton Combed;Pria
ORD00005;06/02/2025 19:08;Wahyu Santoso;Jakarta;Dress Casual;298.000;2;0;596.000;0;596.000;17.000;935.000;COD;Completed;OutfitNow;1;XXL;Viscose;Wanita
ORD00006;19/05/2025 19:06;Ani Wijaya;Pontianak;Hoodie;334.000;2;0;668.000;0;668.000;17.000;855.000;e-Wallet;Completed;StyleMart;1;XXL;Cotton Combed;Pria
ORD00006;19/05/2025 19:06;Ani Wijaya;Pontianak;Kaos Pendek;85.000;2;0;170.000;0;170.000;17.000;855.000;e-Wallet;Completed;StyleMart;1;M;Cotton Combed;Pria
ORD00007;08/08/2025 18:15;Ani Halim;Wamena;Hijab;47.000;4;10;188.000;18.800;169.200;20.000;834.500;Transfer Bank;Returned;FashionHub;1;XXL;Voal;Wanita
